Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
4.258208203315734863e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.452000000000000313e+01,3.066000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.357230424880981445e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.454999999999999716e+01,3.089000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.456251788139343262e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.539000000000000057e+01,3.073000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.555274105072021484e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.557999999999999829e+01,3.202000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.654296302795410156e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.625999999999999801e+01,3.130999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.753319406509399414e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.600000000000000000e+01,3.260000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.852340936660766602e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.654999999999999716e+01,3.173000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.951363015174865723e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.661999999999999744e+01,3.214999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.050386190414428711e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.645000000000000284e+01,3.282000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.149408411979675293e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.745000000000000284e+01,3.310999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.248429822921752930e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.728999999999999915e+01,3.331000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.347452044486999512e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.760999999999999943e+01,3.278999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.446474337577819824e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.784000000000000341e+01,3.327000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.545497393608093262e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.754999999999999716e+01,3.331000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.644519639015197754e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.813000000000000256e+01,3.360000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.743541884422302246e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.767999999999999972e+01,3.365999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.842617368698120117e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.813000000000000256e+01,3.314000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.941639661788940430e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.900000000000000000e+01,3.365999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.040661835670471191e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.896999999999999886e+01,3.427000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.139684128761291504e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.871000000000000085e+01,3.510999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.238706398010253906e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.957999999999999829e+01,3.407999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.337728595733642578e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.915999999999999659e+01,3.504999999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.436750817298889160e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.910000000000000142e+01,3.421000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.535773086547851562e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.896999999999999886e+01,3.492000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.634795355796813965e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.952000000000000313e+01,3.459000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.733817553520202637e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.960999999999999943e+01,3.475999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.832893347740173340e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.971000000000000085e+01,3.527000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.931915569305419922e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.028999999999999915e+01,3.536999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.030937838554382324e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.003000000000000114e+01,3.542999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.129969453811645508e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.054999999999999716e+01,3.500999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.228991723060607910e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.092999999999999972e+01,3.588000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.328013992309570312e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.113000000000000256e+01,3.627000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.427036213874816895e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.086999999999999744e+01,3.632999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.526058459281921387e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.100000000000000000e+01,3.534000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.625080752372741699e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.132000000000000028e+01,3.521000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.724102950096130371e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.106000000000000227e+01,3.529999999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.823124289512634277e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.132000000000000028e+01,3.578999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.922147440910339355e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.174000000000000199e+01,3.703999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.021169686317443848e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.218999999999999773e+01,3.668999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.120291948318481445e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.196000000000000085e+01,3.692000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.219314241409301758e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.238000000000000256e+01,3.636999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.318336439132690430e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.271000000000000085e+01,3.714000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.417358732223510742e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.274000000000000199e+01,3.688000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.516380929946899414e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.306000000000000227e+01,3.836999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.615404343605041504e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.379999999999999716e+01,3.721000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.714426565170288086e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.289999999999999858e+01,3.820000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.813448834419250488e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.325000000000000000e+01,3.790999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.912471032142639160e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.377000000000000313e+01,3.820000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.011493325233459473e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.371000000000000085e+01,3.775000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.110515570640563965e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.418999999999999773e+01,3.875000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.209537816047668457e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.438000000000000256e+01,3.827000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.308560061454772949e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.477000000000000313e+01,3.871999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.407610225677490234e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.418999999999999773e+01,3.846000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.506632447242736816e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.460999999999999943e+01,3.871999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.605673480033874512e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.509000000000000341e+01,3.895000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.704695987701416016e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.477000000000000313e+01,3.988000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.803718233108520508e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.503000000000000114e+01,3.910999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902740406990051270e+01,1.000000000000000000e+02,1.000000000000000000e+02,5.545000000000000284e+01,3.927000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000176274776458740e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.553999999999999915e+01,3.946000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010078492164611816e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.525000000000000000e+01,4.022999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.019980721473693848e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.596000000000000085e+01,3.861999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.029882938861846924e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.585999999999999943e+01,4.014000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.039785170555114746e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.603000000000000114e+01,3.982000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.049687390327453613e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.567000000000000171e+01,3.988000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.059589622020721436e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.585999999999999943e+01,3.953000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.069491839408874512e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.650999999999999801e+01,4.000999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.079394071102142334e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.640999999999999659e+01,4.017000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.089296286106109619e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.679999999999999716e+01,4.027000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.099198522567749023e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.640999999999999659e+01,4.100999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.109100739955902100e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.706000000000000227e+01,4.103999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.119002962112426758e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.702000000000000313e+01,4.059000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.128905193805694580e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.711999999999999744e+01,4.146000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.138807413578033447e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.779999999999999716e+01,4.088000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.148709635734558105e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.772999999999999687e+01,4.156000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.158611862659454346e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.779999999999999716e+01,4.149000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.168514087200164795e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.772999999999999687e+01,4.097999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.178416314125061035e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.817999999999999972e+01,4.242999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.188318538665771484e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.825000000000000000e+01,4.152000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.198225114345550537e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.821999999999999886e+01,4.103999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.208127334117889404e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.882999999999999829e+01,4.185000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.218029556274414062e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.802000000000000313e+01,4.167999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.227930724620819092e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.870000000000000284e+01,4.242999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.237832949161529541e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.875999999999999801e+01,4.210000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.247735173702239990e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.892999999999999972e+01,4.181000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.257637398242950439e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.879999999999999716e+01,4.239000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.267539639472961426e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.953999999999999915e+01,4.313000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.277441864013671875e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.934000000000000341e+01,4.267999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.287344088554382324e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.928000000000000114e+01,4.325999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.297246308326721191e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.034000000000000341e+01,4.307000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.307148540019989014e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.972999999999999687e+01,4.352000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.317050902843475342e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.996000000000000085e+01,4.271999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.326953129768371582e+02,1.000000000000000000e+02,1.000000000000000000e+02,5.970000000000000284e+01,4.313000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.336855442523956299e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.028000000000000114e+01,4.425999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.346757578849792480e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.031000000000000227e+01,4.300999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.356659803390502930e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.014999999999999858e+01,4.361999999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.366562025547027588e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.067000000000000171e+01,4.335999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.376464343070983887e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.031000000000000227e+01,4.290999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.386366479396820068e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.021000000000000085e+01,4.325999999999999801e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.396268706321716309e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.002000000000000313e+01,4.346000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.406171016693115234e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.040999999999999659e+01,4.339000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.416073241233825684e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.150000000000000000e+01,4.420000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.425975468158721924e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.096000000000000085e+01,4.446000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.435877692699432373e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.131000000000000227e+01,4.417000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.445779829025268555e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.153999999999999915e+01,4.449000000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.455682053565979004e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.178999999999999915e+01,4.510000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.465584297180175781e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.128000000000000114e+01,4.422999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.475486609935760498e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.138000000000000256e+01,4.564999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485388746261596680e+02,1.000000000000000000e+02,1.000000000000000000e+02,6.243999999999999773e+01,4.464999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
